代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),发行数量总计(万股),新股发行数量(万股),老股转让数量(万股),网下配售数量(万股),网上发行数量(万股),回拨比例(%),预计募资(上市公司)(亿元),募资总额(上市公司)(亿元),募资净额(上市公司)(亿元),上市公司发行费用(万元),上市公司发行费率(%),老股转让费用(万元),转让费率(%),发行费用合计(万元),发行费率(%),承销及保荐费(万元),审计及验资费(万元),法律费用(万元),信息披露费(万元),发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,承销商认购余股(万股),包销金额(万元),包销比例,面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所,上市首日涨跌幅%,上市5日涨跌幅%,上市10日涨跌幅%,上市20日涨跌幅%
003016.SZ,欣贺股份,3016,2020/9/29,2020/10/15,2020/10/26,中小企业板,8.99,16.2,16.77,10666.67,10666.67,0,1066.62,9600.05,60,9.59,9.59,8.69,9005.97,9.39,0,0,9005.97,9.39,6623.35,792.45,849.06,660.38,"网下询价,上网定价",余额包销,中信建投证券股份有限公司,容诚会计师事务所(特殊普通合伙),北京卓信大华资产评估有限公司,北京市天元律师事务所,2020/10/14,24.18,217.37,0.23,1,福建,纺织服装、服饰业,,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,A股,深圳,44.05,-18.53,-14.44,
300901.SZ,中胤时尚,300901,2020/9/29,2020/10/15,2020/10/29,创业板,8.96,21.04,38.35,6000,6000,0,3090,2910,20,6.39,5.38,4.77,6028.01,11.21,0,0,6028.01,11.21,4838.4,485.85,218.87,447.17,"网下询价,上网定价",余额包销,中国国际金融股份有限公司,立信会计师事务所(特殊普通合伙),上海申威资产评估有限公司,北京市通商律师事务所,2020/10/14,4.86,43.58,0.08,1,浙江,专业技术服务业,,工业--资本货物--综合类Ⅲ--综合类行业,A股,深圳,361.27,-17.93,-24.97,
300900.SZ,广联航空,300900,2020/9/29,2020/10/15,2020/10/29,创业板,17.87,61.67,38.44,5256,5256,0,3056.7,2199.3,20,7.95,9.39,8.56,8277.18,8.81,0,0,8277.18,8.81,5920.98,1207.55,533.02,478.3,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,天职国际会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,北京市金杜律师事务所,2020/10/14,4.02,71.92,0.08,1,黑龙江,铁路、船舶、航空航天和其他运输设备制造业,,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,深圳,304.53,-14.23,-16.79,
688179.SH,阿拉丁,787179,2020/9/28,2020/10/14,2020/10/26,科创板,19.43,30.79,127.61,2523.34,2523.34,0,1564.44,958.9,10,4.89,4.9,4.34,5585.48,11.39,0,0,5585.48,11.39,3700.26,706.6,599.06,488,"战略配售,网下询价,上网定价",余额包销,西部证券股份有限公司,大华会计师事务所(特殊普通合伙),"银信资产评估有限公司,北京华亚正信资产评估有限公司",上海市锦天城律师事务所,2020/10/13,1.1,21.28,0.04,1,上海,研究和试验发展,制造业-石油、化学、塑胶、塑料-化学原料及化学制品制造业-基本化学原料制造业,材料--材料Ⅱ--化工--特种化工,A股,上海,131.91,-1.66,22.06,
003017.SZ,大洋生物,3017,2020/10/12,2020/10/14,2020/10/26,中小企业板,28.85,22.99,27.89,1500,1500,0,,1500,0,4.33,4.33,3.83,5005.31,11.57,0,0,5005.31,11.57,2735.85,1245.28,509.43,484.91,上网定价,余额包销,财通证券股份有限公司,瑞华会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市锦天城律师事务所,2020/10/13,3.58,103.27,0.24,1,浙江,化学原料和化学制品制造业,制造业-石油、化学、塑胶、塑料-化学原料及化学制品制造业-有机化学产品制造业,材料--材料Ⅱ--化工--化肥与农用化工,A股,深圳,43.99,16.23,35.72,
601187.SH,厦门银行,780187,2020/9/8,2020/10/13,2020/10/27,主板,6.71,10.35,6.05,26391.28,26391.28,0,2639.08,23752.2,60,17.71,17.71,17.39,3225.02,1.82,0,0,3225.02,1.82,1670.62,526.42,316.04,583.96,"网下询价,上网定价",余额包销,中信建投证券股份有限公司,安永华明会计师事务所(特殊普通合伙),厦门市大学资产评估土地房地产估价有限责任公司,国浩律师事务所,2020/10/12,61.57,413.17,0.23,1,福建,货币金融服务,金融、保险业-银行业-其他商业银行,金融--银行--商业银行--区域性银行,A股,上海,40.24,-14.03,-5.21,
688129.SH,东来技术,787129,2020/9/28,2020/10/13,2020/10/23,科创板,15.22,24.71,28.28,3000,3000,0,1860,1140,10,4.81,4.57,4.07,4950.86,10.84,0,0,4950.86,10.84,3523.57,630.66,247.62,498.11,"战略配售,网下询价,上网定价",余额包销,东方证券承销保荐有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,北京大成律师事务所,2020/10/12,1.59,24.17,0.05,1,上海,化学原料和化学制品制造业,,材料--材料Ⅱ--化工--基础化工,A股,上海,123.39,-27.06,-24.82,
003013.SZ,地铁设计,3013,2020/9/23,2020/10/9,2020/10/22,中小企业板,13.43,22.99,39.21,4001,4001,0,400.1,3600.9,60,5.37,5.37,4.88,4929.95,9.17,0,0,4929.95,9.17,4042.32,248.3,80.19,490.57,"网下询价,上网定价",余额包销,华泰联合证券有限责任公司,立信会计师事务所(特殊普通合伙),广东联信资产评估土地房地产估价有限公司,北京市中伦律师事务所,2020/9/30,7.74,103.96,0.19,1,广东,专业技术服务业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,深圳,44.01,5.17,12.46,
003013.SZ,地铁设计,3013,2020/9/23,2020/10/9,2020/10/22,中小企业板,13.43,22.99,39.21,4001,4001,0,400.1,3600.9,60,5.37,5.37,4.88,4929.95,9.17,0,0,4929.95,9.17,4042.32,248.3,80.19,490.57,"网下询价,上网定价",余额包销,中信证券股份有限公司,立信会计师事务所(特殊普通合伙),广东联信资产评估土地房地产估价有限公司,北京市中伦律师事务所,2020/9/30,7.74,103.96,0.19,1,广东,专业技术服务业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,深圳,44.01,5.17,12.46,
003015.SZ,日久光电,3015,2020/9/23,2020/10/9,2020/10/21,中小企业板,6.57,22.99,50.57,7026.67,7026.67,0,702.62,6324.05,50,4.62,4.62,4.14,4791.21,10.38,0,0,4791.21,10.38,3160.38,779.25,306.6,481.13,"网下询价,上网定价",余额包销,中信证券股份有限公司,容诚会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市锦天城律师事务所,2020/9/30,11.61,76.26,0.17,1,江苏,计算机、通信和其他电子设备制造业,制造业-电子-其他电子设备制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,43.99,61.21,76.64,
